spa,por,rom,fra,ita,lat
relikja,<blank>,ʁəlik,ʁəlik,<blank>,rɛlɪkwʊm
<blank>,eʃsuɾəʒiɹ,<blank>,<blank>,<blank>,ɛkssʊrɡɛrɛ
<blank>,<blank>,<blank>,<blank>,sakrifikale,sakrɪfɪkaːlɛm
xuɣo,sukʊ,syk,syk,suɡo,suːkʊm
kɾuθifeɾo,kɹusifɨɾʊ,kʁysifɛʁ,kʁysifɛʁ,krotʃifero,krʊkɪfɛrʊm
insulto,iŋsuwtʊ,<blank>,<blank>,insulto,iːnsʊltʊm
ɡustaθjon,ɡuʃtɐsɐ̃ʊ̃,ɡystasjɔ̃,ɡystasjɔ̃,ɡustatsione,ɡʊstaːtɪoːnɛm
luðiβɾio,<blank>,<blank>,<blank>,ludibrio,luːdiːbrɪʊm
efektiβo,ifɨtivʊ,efɛktif,efɛktif,<blank>,ɛffɛktiːwʊm
inkɾepaɾ,<blank>,<blank>,<blank>,<blank>,ɪŋkrɛpaːrɛ
peɾipatetiko,peɾipɐtɛtikʊ,peʁipatetik,peʁipatetik,peripatɛtiko,pɛrɪpateːtɪkʊm
imfundiɾ,iŋfũŋdiɹ,ɛ̃fɔ̃dʁ,ɛ̃fɔ̃dʁ,infondere,iːnfʊndeːrɛ
eɾoe,ɨɾɔɪ,eʁo,eʁo,erɔe,heːroːs
<blank>,<blank>,<blank>,<blank>,traltʃo,traːdʊkɛm
θikuta,sikutɐ,<blank>,<blank>,tʃikuta,kɪkuːtam
<blank>,ʁutilʊ,<blank>,<blank>,<blank>,rʊtɪlʊm
imitaβle,imitavɛl,imitabl,imitabl,imitabile,ɪmɪtaːbɪlɛm
tɾiβuna,tɹibunɐ,tʁibyn,tʁibyn,tribuna,trɪbuːnam
uniβeɾso,univɛɾəsʊ,ynivɛʁ,ynivɛʁ,univɛrso,uːnɪwɛrsʊm
<blank>,<blank>,pedaɡoɡ,pedaɡoɡ,<blank>,paɪdaɡoːɡʊm
<blank>,<blank>,<blank>,<blank>,liɲeo,lɪŋnɛʊm
pɾeseɾβaɾ,pɹezɨɾəvaɹ,pʁezɛʁve,pʁezɛʁve,prezervare,praɪsɛrwaːrɛ
rista,ʁɛʃtɨ,<blank>,<blank>,rɛsta,rɛstɛm
<blank>,sɐkɹifikulʊ,<blank>,<blank>,<blank>,sakrɪfɪkʊlʊm
naðaɾ,nɐdaɹ,<blank>,<blank>,nuotare,nataːrɛ
enoɾme,enɔɾəmɨ,enɔʁm,enɔʁm,enorme,eːnoːrmɛm
paso,pasʊ,pa,pa,passo,passʊm
asimilaɾ,ɐsimilaɹ,asimile,asimile,<blank>,assɪmʊlaːrɛ
konseɣiɾ,kuŋsɨɡiɹ,<blank>,<blank>,konseɡwire,koːnsɛkwiː
θjɛnθja,sjeɪŋsjɐ,sjɑ̃s,sjɑ̃s,ʃɛntsa,skɪɛntɪam
enjesto,<blank>,<blank>,<blank>,<blank>,iːnfɛstʊm
<blank>,<blank>,<blank>,<blank>,kalidʒine,kaːliːɡɪnɛm
ambiðekstɾo,ɐ̃mbidɛʃtɹʊ,ɑ̃bidɛkstʁ,ɑ̃bidɛkstʁ,ambidɛstro,ambɪdɛkstrʊm
kaɾpa,kaɾəpɐ,kaʁp,kaʁp,karpa,karpam
alteɾno,<blank>,<blank>,<blank>,<blank>,altɛrnʊm
konmoθjon,kumusɐ̃ʊ̃,kɔmosjɔ̃,kɔmosjɔ̃,kommotsione,kɔmmoːtɪoːnɛm
palpitaθjon,pɑlpitɐsɐ̃ʊ̃,palpitasjɔ̃,palpitasjɔ̃,<blank>,palpɪtaːtɪoːnɛm
rektoɾ,ʁeɪtoɹ,ʁɛktœʁ,ʁɛktœʁ,rettore,rɛktoːrɛm
boɾeal,buɾiɑl,boʁeal,boʁeal,boreale,bɔrɛaːlɛm
fuɾiβundo,fuɾibũŋdʊ,fyʁibɔ̃,fyʁibɔ̃,furibondo,fʊrɪbʊndʊm
eksaminaɾ,ezɐminaɹ,ɛɡzamine,ɛɡzamine,ezaminare,ɛksaːmɪnaːrɛ
<blank>,<blank>,<blank>,<blank>,kinare,kliːnaːrɛ
<blank>,<blank>,<blank>,<blank>,zɡombro,skɔmbrʊm
aβsoɾθjon,ɐbsuɾəsɐ̃ʊ̃,absɔʁpsjɔ̃,absɔʁpsjɔ̃,<blank>,absɔrptɪoːnɛm
fluktwaθjon,flutuɐsɐ̃ʊ̃,flyktyasjɔ̃,flyktyasjɔ̃,fluttuatsione,flʊktʊaːtɪoːnɛm
<blank>,<blank>,<blank>,<blank>,dʒudikatritʃe,juːdɪkaːtriːkɛm
ruβjo,ʁuivʊ,ʁuʒ,ʁuʒ,rodʒʒo,rʊbɛʊm
naðal,nɐtɑl,nɔɛl,nɔɛl,natale,naːtaːlɛm
distɾiβutiβo,diʃtɹibutivʊ,distʁibytif,distʁibytif,distributivo,dɪstrɪbuːtiːwʊm
inalaɾ,inɐlaɹ,inale,inale,inalare,ɪnhaːlarɛ
<blank>,<blank>,syʒesjɔ̃,syʒesjɔ̃,<blank>,sʊbɪɛktɪoːnɛm
<blank>,<blank>,<blank>,<blank>,prokatʃa,prɔkaːkɪam
aβeɾtuɾa,ɐbɨɾətuɾɐ,apɛʁtyʁ,apɛʁtyʁ,apertura,apɛrtuːram
komiko,komikʊ,komik,komik,kɔmiko,koːmɪkʊm
tensjon,teɪŋsɐ̃ʊ̃,tɑ̃sjɔ̃,tɑ̃sjɔ̃,tensione,teːnsɪoːnɛm
pito,pɛtʊ,pik,pik,pikkio,piːkʊm
tekstuɾa,teʃtuɾɐ,tɛkstyʁ,tɛkstyʁ,<blank>,tɛkstuːram
pɾemeɾ,pɹɨmeɹ,pʁɛ̃dʁ,pʁɛ̃dʁ,prɛmere,prɛmɛrɛ
<blank>,<blank>,<blank>,<blank>,vɛllere,wɛllɛrɛ
<blank>,ʃkɹinjʊ,ekʁɛ̃,ekʁɛ̃,skriɲɲo,skriːnɪʊm
θeniθa,siŋzɐ,sɑ̃dʁ,sɑ̃dʁ,tʃinidʒia,kɪnɛrɛm
densiðad,densidadɨ,dɑ̃site,dɑ̃site,densita,dɛnsɪtaːtɛm
<blank>,tuɾəʒiɹ,<blank>,<blank>,<blank>,tʊrɡeːrɛ
refoɾmaðoɾ,ʁefuɾəmɐdoɹ,ʁefɔʁmatœʁ,ʁefɔʁmatœʁ,riformatore,rɛfɔrmaːtoːrɛm
lokusta,lukuʃtɐ,lokyst,lokyst,lokusta,lɔkʊstam
satelite,<blank>,satɛlit,satɛlit,satɛllite,satɛllɪtɛm
eðiθjon,edisɐ̃ʊ̃,edisjɔ̃,edisjɔ̃,editsione,eːdɪtɪoːnɛm
ospitaliðad,uʃpitɐlidadɨ,ɔspitalite,ɔspitalite,ospitalita,hɔspɪtaːlɪtaːtɛm
<blank>,tɛɾəmitɨ,tɛʁmi,tɛʁmi,termite,tarmɪtɛm
kaliɣa,kɑliɡɐ,<blank>,<blank>,kaliɡa,kalɪɡam
konmoβeɾ,kumuveɹ,<blank>,<blank>,kommuɔvere,kɔmmɔweːrɛ
aβsoluθjon,ɐbsulusɐ̃ʊ̃,absolysjɔ̃,absolysjɔ̃,assolutsione,absɔluːtɪoːnɛm
akomoðaθjon,ɐkumudɐsɐ̃ʊ̃,akɔmodasjɔ̃,akɔmodasjɔ̃,akkomodatsione,akkɔmmɔdaːtɪoːnɛm
eskuriɾ,ʃkuʁeɹ,<blank>,<blank>,skɔrrere,ɛkskʊrrɛrɛ
inspekθjonaɾ,<blank>,ɛ̃spɛkte,ɛ̃spɛkte,<blank>,iːnspɛktaːrɛ
aʊɾikula,aʊɾikulɐ,<blank>,<blank>,aurikola,aʊrɪkʊlam
<blank>,<blank>,<blank>,<blank>,peraɡrare,pɛraɡraːrɛ
plomoso,<blank>,plɔ̃bø,plɔ̃bø,piombozo,plʊmboːsʊm
<blank>al,<blank>aʎɐ,<blank>aj,<blank>aj,<blank>aʎa,<blank>aːlɛm
aplaʊðiɾ,ɐplaʊdiɹ,aplodiʁ,aplodiʁ,applaudire,applaʊdɛrɛ
diβiðiɾ,dividiɹ,divize,divize,dividere,diːwɪdeːrɛ
indiskɾeθjon,iŋdiʃkɹisɐ̃ʊ̃,ɛ̃diskʁesjɔ̃,ɛ̃diskʁesjɔ̃,indiskretsione,ɪndɪskreːtɪoːnɛm
indiɡnaθjon,iŋdiɡnɐsɐ̃ʊ̃,ɛ̃diɲasjɔ̃,ɛ̃diɲasjɔ̃,indiɲatsione,ɪndɪŋnaːtɪoːnɛm
minoɾaɾ,<blank>,minoʁe,minoʁe,<blank>,mɪnoːraːrɛ
peliɣɾo,peɾiɡʊ,peʁil,peʁil,perikolo,pɛriːkʊlʊm
oleɾ,<blank>,<blank>,<blank>,olire,ɔleːrɛ
korupptiβle,kuʁuptivɛl,koʁyptibl,koʁyptibl,korruttibile,kɔrrʊptɪbɪlɛm
<blank>,<blank>,nat,nat,<blank>,mattam
inteɾes,iŋtɨɾɨsɨ,ɛ̃tʁɛ,ɛ̃tʁɛ,interɛsse,ɪntɛrɛssɛ
ilusjon,<blank>,ilyzjɔ̃,ilyzjɔ̃,illuzione,ɪlluːsɪoːnɛm
kulto,kuwtʊ,kylt,kylt,kulto,kʊltʊm
peɾθepptoɾ,<blank>,<blank>,<blank>,<blank>,pɛrkɛptoːrɛm
peoɾ,piɔɹ,piʁ,piʁ,pedʒʒore,pɛjoːrɛm
kastiʎo,kɐʃtɛlʊ,ʃato,ʃato,kastɛllo,kastɛllʊm
dispeɾsjon,diʃpɨɾəsɐ̃ʊ̃,dispɛʁsjɔ̃,dispɛʁsjɔ̃,dispersione,dɪspɛrsɪoːnɛm
pelβis,pɛʊviʃ,pɛlvi,pɛlvi,pɛlvi,pɛlwɪs
sepptimo,sɛtimʊ,sɛptim,sɛptim,sɛttima,sɛptɪmam
<blank>,<blank>,<blank>,<blank>,mudʒʒine,muːɡɪlɛm
<blank>,pɹɐ̃ŋdjʊ,<blank>,<blank>,praŋdzo,prandɪʊm
<blank>,<blank>,devjasjɔ̃,devjasjɔ̃,devjatsione,deːwɪaːtɪoːnɛm
nombɾaɾ,numiaɹ,<blank>,<blank>,nominare,noːmɪnaːrɛ
exemplo,ezeɪmplʊ,ɛɡzɑ̃pl,ɛɡzɑ̃pl,ezɛmpio,ɛksɛmplʊm
sene,<blank>,<blank>,<blank>,sene,sɛnɛm
diskɾiminaɾ,diʃkɹiminaɹ,diskʁimine,diskʁimine,diskriminare,dɪskriːmɪnaːrɛ
pɾopaɣaɾ,pɹupɐɡaɹ,pʁopaʒe,pʁopaʒe,propaɡare,proːpaːɡaːrɛ
espelunka,ʃpelũŋkɐ,spelɔ̃k,spelɔ̃k,spelonka,speːlʊŋkam
piɡmɛnto,piɡmeɪŋtʊ,piɡmɑ̃,piɡmɑ̃,piɡmento,pɪɡmɛntʊm
pɾimitiβo,pɹimitivʊ,pʁimitif,pʁimitif,primitivo,priːmɪtiːwʊm
fɾuiɾ,fɹuiɹ,<blank>,<blank>,fruire,frʊiː
bikaɾjo,viɡaɾjʊ,vikɛʁ,vikɛʁ,vikario,wɪkaːrɪʊm
koɾte,kɔɾətɨ,kuʁ,kuʁ,korte,kɔhɔrtɛm
peɲo,<blank>,<blank>,<blank>,<blank>,pɪŋnʊs
suplikaɾ,suplikaɹ,syplie,syplie,supplikare,sʊpplɪkaːrɛ
<blank>,<blank>,<blank>,<blank>,sutʃʃino,suːkɪnʊm
tɾamite,tɹɐ̃mitɨ,<blank>,<blank>,tramite,traːmɪtɛm
lakustɾe,lɐkuʃtɹɨ,<blank>,<blank>,lakustre,lakʊstrɛm
peɾpetwiðad,peɾəpɨtuɪdadɨ,pɛʁpetyite,pɛʁpetyite,perpetuita,pɛrpɛtʊɪtaːtɛm
koɡnome,kuɡnomɨ,koɲomɛn,koɲomɛn,koɲome,koːŋnoːmɛn
duðaɾ,duvidaɹ,dute,dute,dubitare,dʊbɪtaːrɛ
faʊθes,faʊsɨ,<blank>,<blank>,fautʃi,faʊkeːs
amplifikaɾ,ɐ̃mplifikaɹ,ɑ̃plifje,ɑ̃plifje,amplifikare,amplɪfɪkaːrɛ
deβolβeɾ,dɨvulveɹ,<blank>,<blank>,devolvere,deːwɔlwɛrɛ
nispeɾo,neʃpɨɾɐ,nɛfl,nɛfl,nɛspola,mɛspɪlʊm
kalamitoso,kɐlɐmitozʊ,<blank>,<blank>,kalamitozo,kalamɪtoːsʊm
koriɛnte,kuʁeɪŋtɨ,kuʁɑ̃,kuʁɑ̃,korrɛnte,kʊrrɛntɛm
tɾansmiɣɾaθjon,tɹɐ̃ŋzmiɡɹɐsɐ̃ʊ̃,tʁɑ̃smiɡʁasjɔ̃,tʁɑ̃smiɡʁasjɔ̃,trazmiɡratsione,transmiːɡraːtɪoːnɛm
<blank>,<blank>,<blank>,<blank>,azola,ansʊlam
pɾeðikatiβo,pɹedikɐtivʊ,pʁedikatif,pʁedikatif,predikativo,praɪdɪkaːtiːwʊm
<blank>,<blank>,<blank>,<blank>,<blank>,zɛma
<blank>,<blank>,<blank>,<blank>,errabondo,ɛrraːbʊndʊm
<blank>,kuŋtubɨɾənɑl,<blank>,<blank>,<blank>,kɔntʊbɛrnaːlɛm
reθensiɾ,<blank>,ʁəsɑ̃se,ʁəsɑ̃se,retʃensire,rɛkeːnseːrɛ
reðaɾɣuiɾ,ʁedɐɾəɡwiɹ,ʁədaʁɡe,ʁədaʁɡe,<blank>,rɛdarɡwɛrɛ
elektiβo,elɨtivʊ,elɛktif,elɛktif,elettivo,eːlɛktiːwʊm
donaθjon,duɐsɐ̃ʊ̃,donasjɔ̃,donasjɔ̃,donatsione,doːnaːtɪoːnɛm
<blank>,<blank>,<blank>,<blank>,kaudato,kaʊdaːtʊm
imfeɾiɾ,iŋfɨɾiɹ,ɛ̃feʁe,ɛ̃feʁe,inferire,iːnfɛrrɛ
<blank>,luʃuɾiozʊ,<blank>,<blank>,<blank>,lʊksʊrɪoːsʊm
<blank>,<blank>,<blank>,<blank>,inflettere,iːnflɛktɛrɛ
ilo,fiʊ,fil,fil,filo,fiːlʊm
enumeɾaɾ,enumɨɾaɹ,enymeʁe,enymeʁe,enumerare,eːnʊmɛrarɛ
tempeɾaɾ,teɪmpɨɾaɹ,tɑ̃peʁe,tɑ̃peʁe,temperare,tɛmpɛraːrɛ
<blank>dad,<blank>dadɨ,<blank>te,<blank>te,<blank>ita,<blank>tatɛm
distendeɾ,diʃteɪŋdeɹ,distɑ̃dʁ,distɑ̃dʁ,distɛndere,dɪstɛndɛrɛ
koɾtina,kuɾətinɐ,kuʁtin,kuʁtin,kortina,kɔrtiːnam
tereno,teʁenʊ,tɛʁɛ̃,tɛʁɛ̃,terreno,tɛrreːnʊm
pasjon,paɪʃɐ̃ʊ̃,pasjɔ̃,pasjɔ̃,passione,passɪoːnɛm
kombikθjon,kuŋvisɐ̃ʊ̃,kɔ̃viksjɔ̃,kɔ̃viksjɔ̃,konvintsione,kɔnwiːktɪoːnɛm
noθeða,<blank>,<blank>,<blank>,notʃeto,nʊkeːtʊm
kuɾjosiðad,kuɾiuzidadɨ,kyʁjozite,kyʁjozite,kuriozita,kuːrɪoːsɪtaːtɛm
<blank>,ʃtuɾakɨ,<blank>,<blank>,storatʃe,styrakɛm
iteɾaθjon,itɨɾɐsɐ̃ʊ̃,iteʁasjɔ̃,iteʁasjɔ̃,iteratsione,ɪtɛraːtɪoːnɛm
matɾonal,mɐtɹunɑl,<blank>,<blank>,<blank>,maːtroːnaːlɛm
penitɛnte,peniteɪŋtɨ,penitɑ̃,penitɑ̃,penitɛnte,paɪnɪtɛntɛm
luksaɾ,<blank>,<blank>,<blank>,<blank>,luːksaːrɛ
deskɾiβiɾ,deʃkɹɨveɹ,dekʁiʁ,dekʁiʁ,deskrivere,deːskriːbɛrɛ
diseminaɾ,disɨminaɹ,disemine,disemine,disseminare,dɪsseːmɪnaːrɛ
kalumnja,kɐlunjɐ,ʃalɑ̃ʒ,ʃalɑ̃ʒ,kalunnia,kalʊmnɪam
suskɾiβiɾ,subskɹɨveɹ,suskʁiʁ,suskʁiʁ,soskrivere,sʊbskriːbɛrɛ
aflixiɾ,ɐfliʒiɹ,afliʒe,afliʒe,afflidʒʒere,affliːɡɛrɛ
linθe,liŋsɨ,ɔ̃s,ɔ̃s,lintʃe,lyŋkɛm
alakɾiðad,ɐlɐkɹidadɨ,alakʁite,alakʁite,alakrita,alakrɪtaːtɛm
bjuða,viuvɐ,vøv,vøv,vedova,wɪdʊam
θeβoʎa,sebolɐ,sibul,sibul,tʃipolla,keːpʊllam
saɾðina,sɐɾədiɲɐ,saʁdin,saʁdin,sardina,sardiːnam
kweβano,<blank>,<blank>,<blank>,<blank>,kɔpʰɪnʊm
tɾanskɾipθjon,tɹɐ̃ŋskɹisɐ̃ʊ̃,tʁɑ̃skʁipsjɔ̃,tʁɑ̃skʁipsjɔ̃,traskritsione,transkrɪptɪoːnɛm
kɾuɾal,kɹuɾɑl,kʁyʁal,kʁyʁal,krurale,kruːraːlɛm
ɡaʎeɣo,ɡɐleɡʊ,<blank>,<blank>,<blank>,ɡallaɪkʊm
<blank>,<blank>,<blank>,<blank>,natsjantsɛno,nazzɪanzeːnʊm
<blank>,vatɨ,<blank>,<blank>,vate,waːtɛm
tela,tɛlɐ,twal,twal,tɛla,teːlam
<blank>,<blank>,<blank>,<blank>,luɡano,luːkʊm
beloθ,vɨlɔʃ,velɔs,velɔs,velotʃe,weːloːkɛm
retaɾðaɾ,<blank>,ʁətaʁde,ʁətaʁde,ritardare,rɛtardaːrɛ
<blank>,veɾəsutʊ,<blank>,<blank>,<blank>,wɛrsuːtʊm
anal,ɐ̃nɑl,anal,anal,annali,annaːlɛm
<blank>,ɐbstɹuiɹ,<blank>,<blank>,<blank>,abstruːdɛrɛ
apelaɾ,ɐpɨlaɹ,aple,aple,appellare,appɛllaːrɛ
eskoplo,ʃkɔpɹʊ,ɛskupʁo,ɛskupʁo,<blank>,skalprʊm
tumoɾ,tumoɹ,tymœʁ,tymœʁ,tumore,tʊmoːrɛm
<blank>,<blank>,<blank>,<blank>,ekwanime,aɪkwanɪmɛm
fomɛnto,fumeɪŋtʊ,<blank>,<blank>,fomento,foːmɛntʊm
aɾteɾja,ɐɾətɛɾjɐ,aʁtɛʁ,aʁtɛʁ,artɛria,arteːrɪam
akɾimonja,ɐkɹimonjɐ,akʁimoni,akʁimoni,akrimɔnia,aːkrɪmoːnɪam
<blank>,<blank>,<blank>,<blank>,unanime,uːnanɪmʊm
<blank>,<blank>,<blank>,<blank>,ematite,haɪmatiːteːn
polo,pɔlʊ,poːl,poːl,pɔlo,pɔlʊm
iŋxeɾiɾ,<blank>,ɛ̃ʒeʁe,ɛ̃ʒeʁe,indʒerire,ɪŋɡɛrɛrɛ
apendeɾ,<blank>,apɑ̃dʁ,apɑ̃dʁ,appɛndere,appɛndɛrɛ
eroxo,feʁoʎʊ,vɛʁu,vɛʁu,<blank>,wɛrɪkʊlʊm
maɾtiɾ,maɾətiɹ,maʁtiʁ,maʁtiʁ,martire,martyrɛm
<blank>,<blank>,blame,blame,<blank>,blaspʰeːmaːrɛ
wesa,fɔsɐ,fɔs,fɔs,fɔssa,fɔssam
aðβeɾsaɾ,<blank>,<blank>,<blank>,<blank>,adwɛrsaːriː
peðo,peɪdʊ,pɛ,pɛ,peto,peːdɪtʊm
saβlon,<blank>,sablɔ̃,sablɔ̃,sabbione,sabʊloːnɛm
lutɾia,loŋtɹɐ,lutʁ,lutʁ,lontra,lʊtram
paðɾastɾo,pɐdɹaʃtʊ,paʁaːtʁ,paʁaːtʁ,<blank>,patrastrʊm
aɾtɾitiko,ɐɾətɹitikʊ,aʁtʁitik,aʁtʁitik,artritiko,artʰriːtɪkʊm
koɾtaɾ,kuɾətaɹ,ekuʁte,ekuʁte,skortare,kʊrtaːrɛ
peɾsonaɾse,<blank>,<blank>,<blank>,<blank>,pɛrsɔnaːrɛ
diploma,diplomɐ,diploːm,diploːm,diploma,dɪploːma
<blank>,<blank>,<blank>,<blank>,ɔstro,ɔstrʊm
noβeðad,nuvidadɨ,nuvɛl,nuvɛl,novita,nɔwɪtaːtɛm
inutil,inutil,inytil,inytil,inutile,ɪnuːtɪlɛm
esparaɣo,ʃpaɾəɡʊ,aspɛʁʒ,aspɛʁʒ,aspaɾaɡo,asparaɡʊm
estilo,ʃtilʊ,stil,stil,stile,stɪlʊm
mwiɾ,mũŋʒiɹ,<blank>,<blank>,mundʒere,mʊlɡeːrɛ
dispaɾaɾ,diʃpɐɾaɹ,<blank>,<blank>,<blank>,dɪsparaːrɛ
<blank>,sunikulozʊ,<blank>,<blank>,sonnakkiozo,sɔmnɪkʊloːsʊm
opptatiβo,ɔptɐtivʊ,ɔptatif,ɔptatif,ottativo,ɔptaːtiːwʊm
θenotafjo,senutafjʊ,senotaf,senotaf,tʃenotafio,kɛnɔtapʰɪʊm
esplieɣo,ʃpiʃʊ,spikyl,spikyl,spiɡolo,spiːkʊlʊm
toɾθeɾ,tuɾəseɹ,tɔʁdʁ,tɔʁdʁ,tɔrtʃere,tɔrkweːrɛ
kwaxo,kuaʎʊ,ke,ke,kaʎo,klaːɡɔrɪʊm
estɾixe,ʃtɹiʒɨ,<blank>,<blank>,stridʒe,strɪɡɛm
opeɾkulo,ɔpɛɾəkulʊ,opɛʁkyl,opɛʁkyl,opɛrkolo,ɔpɛrkʊlʊm
depɾeðaɾ,dɨpɹɨdaɹ,<blank>,<blank>,depredare,deːpraɪdaːriː
tɾaslaθjon,tɹɐ̃ŋzlɐsɐ̃ʊ̃,tʁɑ̃slasjɔ̃,tʁɑ̃slasjɔ̃,trazlatsione,traːnslaːtɪoːnɛm
esputo,ʃputʊ,<blank>,<blank>,sputo,spuːtʊm
<blank>,<blank>,bɛʁl,bɛʁl,<blank>,bɛrʊlam
apɾopjaɾ,ɐpɹupɹiaɹ,apʁɔpʁie,apʁɔpʁie,appropriare,approːprɪaːrɛ
tumiðo,tũmidʊ,<blank>,<blank>,tumido,tʊmɪdʊm
tɾiaða,tɹiɐdɨ,tʁiad,tʁiad,triade,trɪadɛm
aθ,aʃ,asje,asje,atʃʃaio,akɪɛm
<blank>,<blank>,paluʁd,paluʁd,<blank>,pɛloːrɪdɛm
pɾotexeɾ,pɹutɨʒeɹ,pʁoteʒe,pʁoteʒe,protedʒʒere,proːtɛɡɛrɛ
fanatiko,fɐnatikʊ,fanatik,fanatik,fanatiko,faːnaːtɪkʊm
saɾθina,<blank>,<blank>,<blank>,sartʃina,sarkɪnam
saltaθjon,<blank>,saltasjɔ̃,saltasjɔ̃,saltatsione,saltaːtɪoːnɛm
kolaʊðaɾ,<blank>,<blank>,<blank>,kollaudare,kɔllaʊdaːrɛ
ospiθjo,uʃpisjʊ,ɔspis,ɔspis,ospitsio,hɔspɪtɪʊm
pontifiθe,puŋtifisɨ,pɔ̃tif,pɔ̃tif,pontefitʃe,pɔntɪfɪkɛm
ɡloɾifikaɾ,ɡluɾifikaɹ,ɡloʁifje,ɡloʁifje,ɡlorifikare,ɡloːrɪfɪkaːrɛ
kolonja,kulonjɐ,koloni,koloni,kolɔnia,kɔloːnɪam
noβle,nɔbɹɨ,nɔbl,nɔbl,nɔbile,noːbɪlɛm
astɾal,ɐʃtɹɑl,astʁal,astʁal,astrale,astraːlɛm
kultuɾa,kuwtuɾɐ,kyltyʁ,kyltyʁ,kultura,kʊltuːram
letʃiɣa,<blank>,<blank>,<blank>,lettiɡa,lɛktiːkam
ekwanimiðad,ekwɐnimidadɨ,ekwanimite,ekwanimite,ekwanimita,aɪkwanɪmɪtaːtɛm
soliðo,sɔlidʊ,sɔl,sɔl,sɔlido,sɔlɪdʊm
aklamaθjon,ɐklɐmɐsɐ̃ʊ̃,aklamasjɔ̃,aklamasjɔ̃,akklamatsione,akklaːmaːtɪoːnɛm
puðoɾ,pudoɹ,pydœʁ,pydœʁ,pudore,pʊdoːrɛm
kolina,kulinɐ,kɔlin,kɔlin,kollina,kɔlliːnam
reβeɾɛnte,ʁevɨɾeɪŋtɨ,<blank>,<blank>,reverɛnte,rɛwɛrɛntɛm
fɾuiθjon,<blank>,<blank>,<blank>,<blank>,frʊɪtɪoːnɛm
adkisiθjon,ɐkizisɐ̃ʊ̃,akizisjɔ̃,akizisjɔ̃,akkwizitsione,akkwɪsiːtɪoːnɛm
lukɾatiβo,lukɹɐtivʊ,lykʁatif,lykʁatif,lukrativo,lʊkraːtiːwʊm
duks,dukɨ,dyk,dyk,dutʃe,dʊkɛm
red,ʁedɨ,ʁɛ,ʁɛ,rete,reːtɛ
<blank>,<blank>,<blank>,<blank>,inimitʃitsia,ɪnɪmiːkɪtɪam
estiɡma,ʃtiɡmɐ,stiɡma,stiɡma,stiɡma,stɪɡma
eleɣante,elɨɡɐ̃ŋtɨ,<blank>,<blank>,<blank>,eːlɛɡantɛm
suðaɾjo,sudaɾjʊ,syɛʁ,syɛʁ,sudario,suːdaːrɪʊm
ekspektaθjon,<blank>,<blank>,<blank>,espettatsione,ɛksspɛktaːtɪoːnɛm
mutwo,mutuʊ,mytyɛl,mytyɛl,mutuo,muːtʊʊm
<blank>,ɛɾiʊ,<blank>,<blank>,<blank>,aɪrɛʊm
desposaɾ,dɨʃpuzaɹ,<blank>,<blank>,dispozare,deːspoːnsaːrɛ
aðβeɾβjal,ɐdvɨɾəbiɑl,advɛʁbjal,advɛʁbjal,avverbjale,adwɛrbɪaːlɪs
kweʎo,kɔlʊ,ku,ku,kollo,kɔllʊm
<blank>,<blank>,<blank>,<blank>,bassarisko,bassarɪskʊm
boske,bɔʃkɨ,byːʃ,byːʃ,bɔsko,bɔskʊm
pɾeðeθiɾ,pɹedizeɹ,pʁediʁ,pʁediʁ,predire,praɪdɪkaːrɛ
<blank>,kuɾuw,<blank>,<blank>,<blank>,kʊruːlɛm
litiɣaɾ,litiɡaɹ,<blank>,<blank>,litiɡare,liːtɪɡaːrɛ
jel,fɛl,fjɛl,fjɛl,fjɛle,fɛl
θiŋɡulo,siŋɡulʊ,sɑ̃ɡl,sɑ̃ɡl,tʃiŋɡolo,kɪŋɡʊlʊm
solβeɾ,sulveɹ,sudʁ,sudʁ,solvere,sɔlwɛrɛ
eskaɾaβaxo,ʃkɐɾɐveʎʊ,ɛskaʁbo,ɛskaʁbo,skaɾabɛo,skarabaɪʊm
komeɾ,kumeɹ,<blank>,<blank>,<blank>,kɔmɛdɛrɛ
aljenixeno,<blank>,<blank>,<blank>,<blank>,alɪeːnɪɡɛnʊm
penates,<blank>,penat,penat,<blank>,pɛnaːtɛm
korupθjon,kuʁupsɐ̃ʊ̃,koʁypsjɔ̃,koʁypsjɔ̃,korrutsione,kɔrrʊptɪoːnɛm
θjelo,sɛʊ,sjɛl,sjɛl,tʃɛlo,kaɪlʊm
motoɾ,mutoɹ,motœʁ,motœʁ,motore,moːtoːrɛm
tuɾβina,tuɾəbinɐ,tyʁbin,tyʁbin,turbine,tʊrbɪnɛm
delito,delitʊ,deli,deli,delitto,deːlɪktʊm
kataɾ,kɐtaɹ,kapte,kapte,kaptare,kaptaːrɛ
<blank>,<blank>,<blank>,<blank>,armamento,armaːmɛntʊm
aʊsteɾiðad,aʊʃtɨɾidadɨ,osteʁite,osteʁite,austerite,aʊsteːrɪtaːtɛm
saθeɾðoθjo,sɐsɨɾədɔsjʊ,sasɛʁdɔs,sasɛʁdɔs,satʃerdɔtsio,sakɛrdoːtɪʊm
soβɾieðad,subɹiɨdadɨ,sɔbʁiete,sɔbʁiete,sobrieta,soːbrɪɛaːtɛm
oβxeto,ɔbʒɛtʊ,ɔbʒɛ,ɔbʒɛ,odʒʒɛtto,ɔbɪɛktʊm
